Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel,Campaign_ID
1,197,2001,2025-05-28,1,270.16,Social,212
2,185,2001,2023-10-20,1,143.79,In-Store,108
3,124,2001,2025-04-13,4,174.26,Online,62
4,121,2001,2023-08-24,4,126.42,Online,32
5,170,2001,2023-05-20,4,124.94,Online,26
6,127,2001,2025-11-18,3,184.65,Online,74
7,103,2001,2024-08-21,3,74.85,Email,272
8,122,2001,2025-08-06,1,224.2,Social,215
9,120,2001,2025-02-01,4,186.86,Social,207
10,151,2001,2024-11-19,5,170.44,Online,54
11,180,2001,2024-08-01,5,97.9,Online,49
12,104,2001,2025-10-01,1,50.25,Online,71
13,199,2001,2024-10-24,2,105.38,Email,276
14,162,2001,2025-03-03,5,23.29,Online,60
15,153,2001,2024-11-02,4,44.91,Online,54
16,198,2001,2022-12-06,3,167.93,Social,168
17,181,2001,2025-02-23,5,231.25,Online,60
18,135,2001,2022-08-23,5,62.14,Online,12
19,105,2001,2024-08-06,4,45.85,In-Store,124
20,128,2001,2025-05-27,3,69.61,Online,65
21,147,2001,2022-09-03,1,193.11,Online,12
22,181,2001,2025-12-03,2,231.25,Social,221
23,183,2001,2022-06-20,3,127.82,Online,8
24,143,2001,2024-10-06,4,18.47,In-Store,127
25,158,2001,2023-09-13,2,132.56,Online,33
26,104,2001,2022-08-27,5,50.25,Online,12
27,151,2002,2024-12-22,1,170.44,Online,57
28,140,2002,2023-10-18,4,139.7,Online,33
29,197,2002,2024-11-22,5,270.16,In-Store,130
30,156,2002,2024-08-10,5,13.54,Online,49
31,159,2002,2025-08-24,4,21.52,Social,215
32,177,2002,2024-01-02,1,296.45,Online,37
33,101,2002,2023-10-21,2,116.4,Social,185
34,170,2002,2024-05-06,2,124.94,In-Store,119
35,172,2002,2024-12-24,5,75.03,Online,56
36,183,2002,2024-08-08,2,127.82,Online,49
37,120,2002,2023-10-27,2,186.86,In-Store,110
38,129,2002,2025-01-02,4,269.37,Online,57
39,151,2002,2025-01-07,2,170.44,Online,58
40,196,2002,2024-11-09,1,162.21,Online,54
41,122,2002,2025-10-04,4,224.2,Social,218
42,109,2002,2025-10-28,5,69.39,TV,363
43,136,2002,2023-11-11,4,134.23,Online,36
44,133,2002,2025-10-16,4,129.42,Online,71
45,103,2002,2023-12-06,4,74.85,In-Store,111
46,181,2002,2025-04-23,4,231.25,Social,212
47,159,2002,2024-02-01,3,21.52,Online,39
48,127,2002,2024-12-24,3,184.65,In-Store,131
49,136,2002,2025-01-27,2,134.23,Online,58
50,162,2002,2025-05-28,3,23.29,Email,286
51,133,2002,2025-10-06,2,129.42,Social,218
52,132,2002,2025-10-14,4,146.35,Social,219
53,141,2003,2025-01-31,2,75.02,In-Store,134
54,123,2003,2024-08-25,1,28.54,In-Store,125
55,161,2003,2023-10-16,2,233.25,In-Store,108
56,154,2003,2023-08-19,4,39.53,Online,32
57,146,2003,2024-03-28,1,28.76,Online,43
58,142,2003,2024-07-12,2,298.93,Online,48
59,200,2003,2025-11-21,1,213.63,Online,75
60,146,2003,2023-09-15,1,28.76,In-Store,107
61,120,2003,2025-10-17,3,186.86,In-Store,146
62,169,2003,2023-04-30,5,105.46,Online,24
63,113,2003,2023-11-30,5,122.3,In-Store,111
64,177,2003,2023-08-26,4,296.45,In-Store,106
65,144,2003,2023-09-09,5,22.73,In-Store,106
66,172,2003,2023-08-21,1,75.03,Online,32
67,146,2003,2024-01-02,2,28.76,Email,258
68,172,2003,2023-12-12,4,75.03,In-Store,111
69,184,2003,2025-11-10,1,120.25,Online,74
70,142,2003,2025-02-07,2,298.93,Online,59
71,144,2003,2024-03-13,4,22.73,In-Store,116
72,158,2003,2023-02-07,4,132.56,Online,20
73,140,2003,2025-11-24,3,139.7,Online,75
74,154,2003,2025-05-23,2,39.53,Online,65
75,105,2003,2025-06-06,2,45.85,Social,213
76,182,2004,2024-12-12,2,73.37,Social,205
77,146,2004,2024-12-21,3,28.76,In-Store,131
78,108,2004,2025-01-04,2,127.37,Email,280
79,154,2005,2024-06-12,5,39.53,Email,267
80,151,2005,2024-08-27,4,170.44,TV,341
81,136,2005,2024-11-17,4,134.23,In-Store,129
82,130,2005,2024-11-03,1,117.61,TV,345
83,161,2005,2025-11-16,4,233.25,Online,73
84,149,2005,2025-12-20,3,64.92,Email,295
85,132,2005,2024-06-10,5,146.35,In-Store,121
86,148,2005,2024-10-30,4,47.75,In-Store,128
87,144,2005,2025-12-11,5,22.73,In-Store,149
88,197,2005,2025-05-21,4,270.16,In-Store,139
89,170,2005,2025-04-06,5,124.94,Online,62
90,138,2005,2024-10-09,5,115.15,Online,52
91,141,2005,2024-09-05,3,75.02,Online,51
92,136,2005,2024-11-12,5,134.23,In-Store,129
93,126,2005,2025-02-04,3,62.9,In-Store,134
94,158,2005,2025-11-01,1,132.56,Social,220
95,147,2005,2025-02-22,3,193.11,Online,60
96,114,2005,2024-10-07,5,120.5,In-Store,126
97,142,2005,2025-09-09,2,298.93,Social,217
98,146,2005,2025-11-30,2,28.76,Online,75
99,147,2005,2025-03-20,5,193.11,In-Store,136
100,138,2006,2023-12-30,2,115.15,Online,37
101,169,2006,2024-10-13,2,105.46,Social,202
102,189,2006,2023-12-31,3,47.31,Online,37
103,159,2006,2024-11-12,2,21.52,In-Store,128
104,183,2006,2025-02-24,4,127.82,Online,59
105,133,2006,2024-01-13,1,129.42,Online,39
106,184,2006,2024-04-07,2,120.25,Online,43
107,133,2006,2024-07-04,4,129.42,Online,48
108,188,2006,2024-08-05,4,12.93,In-Store,123
109,104,2006,2024-02-10,4,50.25,Social,191
110,153,2007,2024-08-26,4,44.91,TV,342
111,123,2007,2023-10-31,4,28.54,In-Store,110
112,148,2007,2024-02-11,4,47.75,Social,191
113,162,2007,2023-12-20,2,23.29,Online,37
114,188,2007,2025-01-18,4,12.93,In-Store,133
115,182,2007,2024-08-30,2,73.37,TV,343
116,192,2007,2024-01-16,1,22.56,In-Store,112
117,154,2007,2024-06-09,4,39.53,Online,47
118,158,2007,2024-01-25,2,132.56,Email,259
119,101,2007,2025-02-11,3,116.4,Email,282
120,113,2007,2024-05-13,1,122.3,In-Store,119
121,188,2007,2024-10-04,4,12.93,Online,52
122,135,2007,2023-10-04,3,62.14,In-Store,107
123,159,2007,2024-05-08,1,21.52,Online,45
124,174,2008,2024-07-06,3,89.89,Online,47
125,152,2008,2023-09-26,2,72.34,In-Store,107
126,102,2008,2024-11-02,3,175.2,Social,204
127,175,2008,2024-04-05,4,285.32,Online,43
128,190,2008,2025-03-11,1,121.42,Online,60
129,168,2008,2025-04-06,4,151.07,Email,283
130,139,2008,2025-11-06,5,162.16,Online,73
131,185,2008,2024-01-17,4,143.79,In-Store,112
132,179,2008,2025-07-12,3,69.62,Online,67
133,109,2008,2025-05-29,4,69.39,Online,65
134,166,2008,2024-10-06,1,151.16,TV,344
135,170,2008,2024-11-24,1,124.94,Social,204
136,198,2008,2025-08-22,3,167.93,In-Store,143
137,199,2008,2024-01-02,1,105.38,Online,37
138,173,2009,2024-06-23,1,100.75,TV,339
139,186,2009,2024-04-22,2,29.78,In-Store,118
140,141,2009,2024-03-06,1,75.02,Online,41
141,188,2009,2024-12-15,2,12.93,TV,347
142,194,2009,2024-04-24,3,70.1,In-Store,119
143,153,2009,2025-03-30,2,44.91,Social,210
144,128,2009,2024-07-28,4,69.61,Online,49
145,134,2009,2024-05-29,3,113.57,Online,46
146,179,2009,2024-05-26,1,69.62,Online,46
147,184,2009,2024-09-12,1,120.25,Online,51
148,140,2010,2022-02-19,3,139.7,Online,2
149,121,2010,2022-07-06,1,126.42,Online,9
150,170,2010,2023-08-08,3,124.94,In-Store,106
151,168,2010,2022-11-12,4,151.07,In-Store,92
152,106,2010,2022-05-01,3,41.44,Online,6
153,157,2010,2025-12-31,4,140.43,Online,77
154,153,2010,2022-10-19,3,44.91,Online,15
