Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Online,2022-01-01,2022-02-06,6759.46,32951,2310,116
2,Online,2022-01-29,2022-02-21,5111.02,61775,1353,123
3,Online,2022-02-11,2022-03-19,6427.72,319487,11295,782
4,Online,2022-03-10,2022-03-30,9337.0,119438,7088,809
5,Online,2022-03-23,2022-05-07,6569.71,199229,10655,1225
6,Online,2022-04-21,2022-06-05,7230.12,441826,25191,2073
7,Online,2022-05-24,2022-06-15,9473.73,282359,7292,714
8,Online,2022-06-08,2022-07-04,5498.82,140423,7611,881
9,Online,2022-06-23,2022-07-26,7588.03,411753,24012,1648
10,Online,2022-07-11,2022-08-13,8886.83,97456,6582,552
11,Online,2022-07-29,2022-08-23,5572.05,324528,15116,1030
12,Online,2022-08-12,2022-09-12,4417.26,342000,15675,1537
13,Online,2022-08-31,2022-10-07,2532.32,411451,21812,2171
14,Online,2022-09-22,2022-10-26,9618.33,10102,642,76
15,Online,2022-10-13,2022-11-06,9937.41,168251,3431,407
16,Online,2022-10-26,2022-11-15,7829.47,371611,25767,2925
17,Online,2022-11-05,2022-12-13,1969.79,29784,1418,74
18,Online,2022-11-26,2022-12-23,2713.44,435236,16546,1416
19,Online,2022-12-15,2023-01-27,1233.41,180232,12179,655
20,Online,2023-01-13,2023-02-24,5974.21,485872,12497,1141
21,Online,2023-02-03,2023-03-07,1245.54,39319,2961,197
22,Online,2023-02-26,2023-03-31,9337.34,73197,5283,307
23,Online,2023-03-19,2023-04-08,6521.93,341451,14665,944
24,Online,2023-03-27,2023-05-04,1921.01,273403,16914,883
25,Online,2023-04-22,2023-05-26,7651.98,311599,15668,905
26,Online,2023-05-11,2023-06-04,1755.8,53277,2586,257
27,Online,2023-05-26,2023-06-17,4286.01,237798,15796,796
28,Online,2023-06-04,2023-06-30,5134.68,351966,19104,1621
29,Online,2023-06-22,2023-07-19,2801.99,149595,9963,656
30,Online,2023-07-14,2023-08-06,6881.6,232057,9726,537
31,Online,2023-07-24,2023-08-13,7811.97,98738,7825,698
32,Online,2023-08-06,2023-09-14,1885.28,33528,2529,148
