Product_ID,Product_Name,Category,Price,Brand
101,T-shirt 1,Clothing,116.4,Brand D
102,Boots 2,Footwear,175.2,Brand I
103,Blouse 3,Clothing,74.85,Brand A
104,Hoodie 4,Clothing,50.25,Brand J
105,Pants 5,Clothing,45.85,Brand I
106,Scarf 6,Accessories,41.44,Brand E
107,Jeans 7,Clothing,110.76,Brand F
108,Coat 8,Outerwear,127.37,Brand F
109,Shirt 9,Clothing,69.39,Brand F
110,Windbreaker 10,Outerwear,138.19,Brand A
111,Cap 11,Accessories,78.12,Brand G
112,Pants 12,Clothing,58.11,Brand J
113,Windbreaker 13,Outerwear,122.3,Brand B
114,Hoodie 14,Clothing,120.5,Brand B
115,Sneakers 15,Footwear,114.62,Brand H
116,Coat 16,Outerwear,161.44,Brand D
117,Jacket 17,Outerwear,214.01,Brand C
118,Boots 18,Footwear,128.58,Brand E
119,Sandals 19,Footwear,193.28,Brand A
120,Sneakers 20,Footwear,186.86,Brand G
121,Jacket 21,Outerwear,126.42,Brand J
122,Coat 22,Outerwear,224.2,Brand G
123,Belt 23,Accessories,28.54,Brand D
124,Windbreaker 24,Outerwear,174.26,Brand J
125,Handbag 25,Accessories,25.35,Brand C
126,Cap 26,Accessories,62.9,Brand B
127,Boots 27,Footwear,184.65,Brand G
128,Skirt 28,Clothing,69.61,Brand H
129,Windbreaker 29,Outerwear,269.37,Brand A
130,Pants 30,Clothing,117.61,Brand F
131,Sweater 31,Clothing,76.52,Brand H
132,Sweater 32,Clothing,146.35,Brand C
133,Sweater 33,Clothing,129.42,Brand I
134,Boots 34,Footwear,113.57,Brand C
135,Blouse 35,Clothing,62.14,Brand A
136,Dress 36,Clothing,134.23,Brand E
137,Sneakers 37,Footwear,90.95,Brand J
138,Shirt 38,Clothing,115.15,Brand B
139,Boots 39,Footwear,162.16,Brand I
140,Sandals 40,Footwear,139.7,Brand J
141,Scarf 41,Accessories,75.02,Brand D
142,Raincoat 42,Outerwear,298.93,Brand F
143,Sunglasses 43,Accessories,18.47,Brand D
144,Dress 44,Clothing,22.73,Brand I
145,Casual Shoes 45,Footwear,87.44,Brand B
146,Hoodie 46,Clothing,28.76,Brand A
147,Jacket 47,Outerwear,193.11,Brand E
148,Scarf 48,Accessories,47.75,Brand J
149,Scarf 49,Accessories,64.92,Brand G
150,Sneakers 50,Footwear,66.48,Brand G
151,Raincoat 51,Outerwear,170.44,Brand A
152,T-shirt 52,Clothing,72.34,Brand F
153,Hoodie 53,Clothing,44.91,Brand I
154,Belt 54,Accessories,39.53,Brand E
155,Scarf 55,Accessories,71.21,Brand B
156,Cap 56,Accessories,13.54,Brand I
157,Shirt 57,Clothing,140.43,Brand D
158,Running Shoes 58,Footwear,132.56,Brand D
159,Hat 59,Accessories,21.52,Brand A
160,Backpack 60,Accessories,74.86,Brand H
161,Raincoat 61,Outerwear,233.25,Brand I
162,Belt 62,Accessories,23.29,Brand D
163,Blouse 63,Clothing,115.65,Brand A
164,Jacket 64,Outerwear,91.03,Brand H
165,Sneakers 65,Footwear,213.33,Brand B
166,Sneakers 66,Footwear,151.16,Brand D
167,Cap 67,Accessories,75.91,Brand J
168,Casual Shoes 68,Footwear,151.07,Brand J
169,Skirt 69,Clothing,105.46,Brand J
170,Blazer 70,Outerwear,124.94,Brand F
171,Sandals 71,Footwear,117.28,Brand E
172,Handbag 72,Accessories,75.03,Brand B
173,Shorts 73,Clothing,100.75,Brand J
174,Shirt 74,Clothing,89.89,Brand I
175,Coat 75,Outerwear,285.32,Brand B
176,Sandals 76,Footwear,98.45,Brand H
177,Windbreaker 77,Outerwear,296.45,Brand I
178,Pants 78,Clothing,58.92,Brand B
179,Sandals 79,Footwear,69.62,Brand B
180,Sandals 80,Footwear,97.9,Brand D
181,Coat 81,Outerwear,231.25,Brand E
182,Backpack 82,Accessories,73.37,Brand A
183,Skirt 83,Clothing,127.82,Brand A
184,Dress 84,Clothing,120.25,Brand E
185,Running Shoes 85,Footwear,143.79,Brand G
186,Shirt 86,Clothing,29.78,Brand C
187,Dress 87,Clothing,95.73,Brand C
188,Belt 88,Accessories,12.93,Brand F
189,Dress 89,Clothing,47.31,Brand D
190,Dress 90,Clothing,121.42,Brand G
191,Boots 91,Footwear,196.98,Brand C
192,Hat 92,Accessories,22.56,Brand F
193,Scarf 93,Accessories,28.68,Brand B
194,Hat 94,Accessories,70.1,Brand D
195,Running Shoes 95,Footwear,109.44,Brand D
196,Sneakers 96,Footwear,162.21,Brand G
197,Blazer 97,Outerwear,270.16,Brand E
198,Windbreaker 98,Outerwear,167.93,Brand I
199,Jacket 99,Outerwear,105.38,Brand E
200,Casual Shoes 100,Footwear,213.63,Brand E
