Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Online,2025-11-26,2025-12-13,1821.29,39780,2007,88
2,Email,2026-07-20,2026-08-07,839.73,52743,1968,153
3,In-Store,2026-01-23,2026-02-09,1025.5,43679,2269,57
4,Online,2026-05-20,2026-05-29,1882.04,19409,461,54
5,In-Store,2026-07-28,2026-08-12,1815.06,66691,2352,207
6,TV,2026-03-30,2026-04-13,3873.07,51694,2496,152
7,Online,2026-06-29,2026-07-06,1939.68,75067,5242,610
8,TV,2026-07-12,2026-07-21,884.2,61160,4666,177
9,Email,2026-03-06,2026-03-24,612.53,61878,3370,351
10,TV,2026-07-26,2026-08-04,956.93,65668,2107,76
11,In-Store,2026-03-14,2026-03-20,1072.05,67020,4015,290
12,Social,2025-10-22,2025-11-07,1986.5,71404,3109,316
13,TV,2026-08-07,2026-08-18,2363.93,36386,1737,87
14,Email,2026-01-12,2026-01-17,3813.76,45190,1533,168
15,Social,2026-04-29,2026-05-14,2104.29,48048,3574,294
16,Online,2026-06-17,2026-06-26,849.42,75788,4370,233
17,In-Store,2025-11-29,2025-12-16,954.58,65581,3751,275
18,In-Store,2026-04-10,2026-04-23,4501.3,65201,1897,97
19,Email,2026-07-16,2026-08-01,1467.9,62076,1366,105
20,Social,2026-05-11,2026-05-24,3883.56,71373,2892,295
21,Email,2026-03-30,2026-04-04,819.97,69251,1914,114
22,Email,2026-06-23,2026-06-28,4047.29,20494,691,63
23,TV,2026-03-03,2026-03-10,3684.17,54880,3382,251
24,TV,2026-08-31,2026-09-08,1483.46,34198,1056,117
25,Email,2026-05-25,2026-06-01,3041.94,38059,1816,208
26,Social,2026-05-14,2026-05-30,1020.75,51036,2569,208
27,TV,2025-10-14,2025-10-23,385.12,71048,5394,412
28,Social,2026-08-21,2026-09-03,3574.26,74574,4655,164
29,TV,2025-10-28,2025-11-11,3008.56,52470,2384,223
30,In-Store,2025-12-02,2025-12-17,4691.52,74789,3518,110
31,Email,2026-08-19,2026-08-27,4928.75,68722,1888,211
32,TV,2026-01-28,2026-02-07,4388.51,46318,2569,153
33,TV,2026-08-19,2026-08-31,557.38,33463,2281,46
34,TV,2026-08-04,2026-08-19,1867.45,37871,1978,221
35,Email,2026-05-10,2026-05-23,1927.83,34286,2202,143
36,Social,2026-04-24,2026-05-12,1355.64,41670,1185,44
37,TV,2026-03-22,2026-04-06,2642.33,39324,2945,165
38,Online,2025-09-27,2025-10-17,3028.77,54258,1127,97
39,Social,2026-03-13,2026-03-28,1136.77,77274,2234,137
40,In-Store,2026-07-19,2026-08-01,701.14,79781,3999,318
41,In-Store,2026-08-01,2026-08-15,615.26,62497,2037,223
42,Email,2026-04-18,2026-05-08,1264.16,23348,518,34
43,Email,2025-10-31,2025-11-15,2954.75,14599,971,63
44,In-Store,2026-06-24,2026-07-04,2764.63,40853,1799,136
45,TV,2025-09-10,2025-09-23,1029.63,22734,1630,186
46,Email,2025-10-06,2025-10-26,2054.55,28952,1697,103
47,Social,2026-08-30,2026-09-11,419.32,20930,1317,113
48,In-Store,2025-11-05,2025-11-21,427.35,25538,864,75
49,Email,2026-03-12,2026-03-31,392.64,17287,1175,44
50,Online,2025-11-11,2025-11-17,3367.91,26672,692,30
