Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,128,2870,2024-12-07,4,967.68,Online
2,125,2599,2026-08-16,3,473.31,Online
3,137,2604,2026-07-10,1,75.81,In-Store
4,103,2110,2025-12-29,2,1038.12,In-Store
5,103,2528,2026-05-19,4,2076.24,In-Store
6,113,2764,2024-02-05,3,1401.99,Online
7,150,2389,2025-03-05,3,274.35,Online
8,140,2166,2025-12-15,1,137.22,In-Store
9,142,2906,2026-08-24,4,971.4,Online
10,112,2719,2026-01-29,2,116.2,Online
11,102,2406,2026-04-24,2,476.84,Online
12,130,2582,2025-10-27,1,37.95,Online
13,146,2318,2025-07-15,1,231.64,Online
14,141,2116,2025-08-05,3,688.2,Online
15,147,2516,2026-01-13,2,71.6,Online
16,150,2541,2024-07-09,2,182.9,Online
17,110,2558,2026-09-05,2,129.8,In-Store
18,127,2182,2025-01-16,3,2292.66,Online
19,119,2726,2025-07-16,2,202.2,Online
20,101,2901,2026-05-15,3,309.06,Online
21,135,2450,2026-05-31,1,23.08,In-Store
22,114,2885,2025-10-03,4,466.04,Online
23,139,2404,2025-02-16,1,88.25,In-Store
24,140,2884,2025-12-09,2,274.44,Online
25,142,2186,2025-05-01,3,728.55,Online
26,143,2142,2025-11-24,3,591.48,Online
27,107,2920,2024-06-05,4,457.64,In-Store
28,140,2161,2025-10-11,2,274.44,Online
29,103,2747,2025-02-11,1,519.06,Online
30,105,2318,2026-02-21,4,562.64,In-Store
31,109,2068,2026-04-28,1,210.62,Online
32,134,2324,2026-06-05,2,262.74,In-Store
33,137,2604,2025-08-19,1,75.81,Online
34,146,2721,2026-06-13,3,694.92,Online
35,117,2601,2025-07-28,3,143.34,In-Store
36,134,2607,2026-07-20,4,525.48,Online
37,115,2805,2026-08-09,3,250.32,In-Store
38,130,2002,2026-05-11,1,37.95,In-Store
39,127,2797,2026-08-12,1,764.22,Online
40,101,2343,2026-08-27,2,206.04,Online
41,120,2257,2026-07-31,3,366.54,In-Store
42,101,2541,2026-07-20,1,103.02,Online
43,137,2335,2026-08-09,1,75.81,In-Store
44,122,2196,2026-08-09,4,543.4,Online
45,131,2796,2025-05-20,2,351.58,Online
46,122,2893,2026-01-18,4,543.4,Online
47,134,2928,2024-02-09,3,394.11,In-Store
48,136,2721,2026-01-16,1,228.69,In-Store
49,123,2569,2025-12-28,1,154.22,In-Store
50,122,2280,2026-02-27,4,543.4,In-Store
51,139,2844,2026-08-09,4,353.0,In-Store
52,149,2587,2026-06-10,3,76.89,Online
53,127,2707,2025-01-12,1,764.22,Online
